	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
RhASF-10_1_746	RhASF-10	1	746	792314	792874	1	D										Ring hydroxylating beta subunit [PF00866.23]					0
RhASF-10_1_747	RhASF-10	1	747	792934	793812	1	C	K16050	4,5:9,10-diseco-3-hydroxy-5,9,17-trioxoandrosta-1(10),2-diene-4-oate hydrolase [EC:3.7.1.17]	MER0226986	S33	MER0226986 - family S33 unassigned peptidases (Rhodococcus equi) [S33.UPW]#S33#{peptidase unit: 31-280}~source YP_004008179~	True	0.854	442.0	3.2449999999999998e-139	Serine aminopeptidase, S33 [PF12146.13]; alpha/beta hydrolase fold [PF00561.25]; Alpha/beta hydrolase family [PF12697.12]; Alpha/beta hydrolase of unknown function (DUF1057) [PF06342.17]; TAP-like protein [PF08386.15]; alpha/beta hydrolase fold [PF07859.18]					0
RhASF-10_1_748	RhASF-10	1	748	793809	794660	1	C	K05711	2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase [EC:1.3.1.87]								Enoyl-(Acyl carrier protein) reductase [PF13561.11]; short chain dehydrogenase [PF00106.30]; KR domain [PF08659.15]					0
RhASF-10_1_749	RhASF-10	1	749	794660	795100	1	E															0
RhASF-10_1_750	RhASF-10	1	750	795119	795700	-1	C	K23779	XRE family transcriptional regulator, regulator of sulfur utilization								Helix-turn-helix domain [PF12844.12]; Helix-turn-helix [PF01381.27]; Cro/C1-type HTH DNA-binding domain [PF13443.11]; Helix-turn-helix domain [PF13560.11]					0
RhASF-10_1_751	RhASF-10	1	751	795843	796664	1	D										Bacterial transcriptional regulator [PF01614.23]; IclR helix-turn-helix domain [PF09339.15]					0
RhASF-10_1_752	RhASF-10	1	752	796797	797729	1	C	K05713	2,3-dihydroxyphenylpropionate 1,2-dioxygenase [EC:1.13.11.16]								Catalytic LigB subunit of aromatic ring-opening dioxygenase [PF02900.23]					0
RhASF-10_1_753	RhASF-10	1	753	797788	799191	-1	D										Sugar (and other) transporter [PF00083.29]; Major Facilitator Superfamily [PF07690.21]					0
RhASF-10_1_754	RhASF-10	1	754	799334	800080	-1	D										Mycothiol maleylpyruvate isomerase N-terminal domain [PF11716.13]					0
RhASF-10_1_755	RhASF-10	1	755	800077	801597	-1	D										AMP-binding enzyme [PF00501.33]; AMP-binding enzyme C-terminal domain [PF13193.11]					0
RhASF-10_1_756	RhASF-10	1	756	801628	803232	-1	D										AMP-binding enzyme [PF00501.33]; AMP-binding enzyme C-terminal domain [PF13193.11]					0
RhASF-10_1_757	RhASF-10	1	757	803351	804169	1	C	K02554	2-keto-4-pentenoate hydratase [EC:4.2.1.80]								Fumarylacetoacetate (FAA) hydrolase family [PF01557.23]					0
RhASF-10_1_758	RhASF-10	1	758	804210	805160	1	C	K04073	acetaldehyde dehydrogenase [EC:1.2.1.10]								Prokaryotic acetaldehyde dehydrogenase, dimerisation [PF09290.16]; Semialdehyde dehydrogenase, NAD binding domain [PF01118.29]					0
RhASF-10_1_759	RhASF-10	1	759	805157	806206	1	C	K01666	4-hydroxy 2-oxovalerate aldolase [EC:4.1.3.39]								HMGL-like [PF00682.24]; DmpG-like communication domain [PF07836.16]					0
RhASF-10_1_760	RhASF-10	1	760	806591	807352	1	D			MER0041277	S33	MER0041277 - family S33 unassigned peptidases (Nocardia farcinica) [S33.UPW]#S33#{peptidase unit: 1-258}~source YP_118971-1~	False	0.497	228.0	7.048e-66	alpha/beta hydrolase fold [PF00561.25]; Alpha/beta hydrolase family [PF12697.12]; Serine aminopeptidase, S33 [PF12146.13]					0
RhASF-10_1_761	RhASF-10	1	761	807324	807689	-1	C	K07497	putative transposase								Integrase core domain [PF00665.31]					0
RhASF-10_1_762	RhASF-10	1	762	807877	808176	1	E															0
RhASF-10_1_763	RhASF-10	1	763	808761	810008	-1	C	K01919	glutamate--cysteine ligase [EC:6.3.2.2]								Glutamate-cysteine ligase family 2(GCS2) [PF04107.18]					0
RhASF-10_1_764	RhASF-10	1	764	810181	811212	1	C	K01920	glutathione synthase [EC:6.3.2.3]								Prokaryotic glutathione synthetase, ATP-grasp domain [PF02955.21]; Prokaryotic glutathione synthetase, N-terminal domain [PF02951.19]; RimK-like ATP-grasp domain [PF08443.16]					0
RhASF-10_1_765	RhASF-10	1	765	811209	812621	1	D										Pyridine nucleotide-disulphide oxidoreductase [PF07992.19]; Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain [PF02852.27]; Pyridine nucleotide-disulphide oxidoreductase [PF00070.32]; L-lysine 6-monooxygenase/L-ornithine 5-monooxygenase [PF13434.11]					0
RhASF-10_1_766	RhASF-10	1	766	812733	813275	1	D										Winged helix DNA-binding domain [PF13463.11]; Transcriptional regulator SarA/Rot [PF22381.1]; HxlR-like helix-turn-helix [PF01638.22]; MarR family [PF01047.27]					0
RhASF-10_1_767	RhASF-10	1	767	813460	814704	1	D										CoA-transferase family III [PF02515.22]					0
RhASF-10_1_768	RhASF-10	1	768	814706	815404	1	D										short chain dehydrogenase [PF00106.30]; Enoyl-(Acyl carrier protein) reductase [PF13561.11]					0
RhASF-10_1_769	RhASF-10	1	769	815479	816195	1	D										Glutathione S-transferase N-terminal domain [PF17172.9]; Glutathione S-transferase, C-terminal domain [PF17171.9]; Glutathione S-transferase, N-terminal domain [PF13417.11]; Outer mitochondrial membrane transport complex protein [PF10568.14]					0
RhASF-10_1_770	RhASF-10	1	770	816216	816914	1	C	K11209	GSH-dependent disulfide-bond oxidoreductase [EC:1.8.4.-]								Glutathione S-transferase, N-terminal domain [PF02798.25]; Glutathione S-transferase, N-terminal domain [PF13409.11]; Glutathione S-transferase, C-terminal domain [PF00043.30]; Glutathione S-transferase, N-terminal domain [PF13417.11]; Glutathione S-transferase, C-terminal domain [PF13410.11]; Glutathione S-transferase, C-terminal domain [PF14497.11]					0
RhASF-10_1_771	RhASF-10	1	771	816979	818406	1	D										Aldehyde dehydrogenase family [PF00171.27]					0
RhASF-10_1_772	RhASF-10	1	772	818529	819581	1	C	K14063	AraC family transcriptional regulator, positive regulator of tynA and feaB								Helix-turn-helix domain [PF12833.12]; AraC-binding-like domain [PF14525.11]; Bacterial regulatory helix-turn-helix proteins, AraC family [PF00165.28]					0
RhASF-10_1_773	RhASF-10	1	773	819762	821054	1	D										Styrene monooxygenase A putative substrate binding domain [PF17885.6]; FAD binding domain [PF01494.24]					0
RhASF-10_1_774	RhASF-10	1	774	821063	821587	1	D										Flavin reductase like domain [PF01613.23]					0
RhASF-10_1_775	RhASF-10	1	775	821869	822282	1	E															0
RhASF-10_1_776	RhASF-10	1	776	822378	822854	1	E															0
RhASF-10_1_777	RhASF-10	1	777	822851	823486	1	E															0
RhASF-10_1_778	RhASF-10	1	778	823533	824030	1	E															0
RhASF-10_1_779	RhASF-10	1	779	824074	824784	1	E															0
RhASF-10_1_780	RhASF-10	1	780	824784	825473	1	E															0
RhASF-10_1_781	RhASF-10	1	781	825470	826054	1	E															0
RhASF-10_1_782	RhASF-10	1	782	826069	826359	1	D										Protein of unknown function (DUF3263) [PF11662.13]					0
RhASF-10_1_783	RhASF-10	1	783	826428	826742	1	D										EthD domain [PF07110.16]					0
RhASF-10_1_784	RhASF-10	1	784	826769	827131	1	C	K06975	uncharacterized protein								GCN5-related N-acetyl-transferase [PF14542.11]					0
RhASF-10_1_785	RhASF-10	1	785	827128	828612	1	C	K00128	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]								Aldehyde dehydrogenase family [PF00171.27]					0
RhASF-10_1_786	RhASF-10	1	786	828708	830015	-1	C	K01912	phenylacetate-CoA ligase [EC:6.2.1.30]								AMP-binding enzyme C-terminal domain [PF14535.11]; AMP-binding enzyme [PF00501.33]; Acyl-protein synthetase, LuxE [PF04443.17]					0
RhASF-10_1_787	RhASF-10	1	787	830030	831124	-1	C	K02613	ring-1,2-phenylacetyl-CoA epoxidase subunit PaaE								Oxidoreductase NAD-binding domain [PF00175.26]; Oxidoreductase FAD-binding domain [PF00970.29]; 2Fe-2S iron-sulfur cluster binding domain [PF00111.32]; Dimethylamine monooxygenase subunit DmmA-like, N-terminal domain [PF22290.1]					0
RhASF-10_1_788	RhASF-10	1	788	831124	831630	-1	C	K02612	ring-1,2-phenylacetyl-CoA epoxidase subunit PaaD								Iron-sulfur cluster assembly protein [PF01883.24]					0
RhASF-10_1_789	RhASF-10	1	789	831627	832544	-1	C	K02611	ring-1,2-phenylacetyl-CoA epoxidase subunit PaaC [EC:1.14.13.149]								Phenylacetic acid catabolic protein [PF05138.17]					0
RhASF-10_1_790	RhASF-10	1	790	832558	832920	-1	C	K02610	ring-1,2-phenylacetyl-CoA epoxidase subunit PaaB								Phenylacetic acid degradation B [PF06243.16]					0
RhASF-10_1_791	RhASF-10	1	791	832917	833879	-1	C	K02609	ring-1,2-phenylacetyl-CoA epoxidase subunit PaaA [EC:1.14.13.149]								Phenylacetic acid catabolic protein [PF05138.17]					0
RhASF-10_1_792	RhASF-10	1	792	833974	834753	-1	C	K15866	2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase [EC:5.3.3.18]								Enoyl-CoA hydratase/isomerase [PF00378.25]; Enoyl-CoA hydratase/isomerase [PF16113.10]					0
RhASF-10_1_793	RhASF-10	1	793	834750	835601	-1	D										3-hydroxyacyl-CoA dehydrogenase, NAD binding domain [PF02737.23]; 3-hydroxyacyl-CoA dehydrogenase, C-terminal domain [PF00725.27]					0
RhASF-10_1_794	RhASF-10	1	794	835598	836320	-1	D			MER1073240	S49C	MER1073240 - subfamily S49C non-peptidase homologues (Acinetobacter bohemicus) [S49.UNC]#S49C#{peptidase unit: 84-212}~source N8Q6E4~	False	0.373	83.0	2.744e-16	Enoyl-CoA hydratase/isomerase [PF00378.25]; Enoyl-CoA hydratase/isomerase [PF16113.10]					0
RhASF-10_1_795	RhASF-10	1	795	836317	837537	-1	D										Thiolase, N-terminal domain [PF00108.28]; Thiolase, C-terminal domain [PF02803.23]; Beta-ketoacyl synthase, N-terminal domain [PF00109.31]					0
RhASF-10_1_796	RhASF-10	1	796	837653	838279	1	D										Tetracyclin repressor-like, C-terminal domain [PF17932.6]; Bacterial regulatory proteins, tetR family [PF00440.28]					0
RhASF-10_1_797	RhASF-10	1	797	838366	840390	1	C	K02618	oxepin-CoA hydrolase / 3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase [EC:3.3.2.12 1.2.1.91]								Aldehyde dehydrogenase family [PF00171.27]; MaoC like domain [PF01575.24]; Mesaconyl-CoA hydratase [PF19315.4]; N-terminal half of MaoC dehydratase [PF13452.11]					0
RhASF-10_1_798	RhASF-10	1	798	840759	840980	1	D										Transposase DDE domain group 1 [PF13701.11]					0
RhASF-10_1_799	RhASF-10	1	799	841021	841575	1	D										Transposase DDE domain group 1 [PF13701.11]					0
RhASF-10_1_800	RhASF-10	1	800	842010	842771	-1	D			MER0041277	S33	MER0041277 - family S33 unassigned peptidases (Nocardia farcinica) [S33.UPW]#S33#{peptidase unit: 1-258}~source YP_118971-1~	False	0.498	231.0	5.7109999999999996e-67	alpha/beta hydrolase fold [PF00561.25]; Alpha/beta hydrolase family [PF12697.12]; Serine aminopeptidase, S33 [PF12146.13]					0
RhASF-10_1_801	RhASF-10	1	801	842865	843833	-1	D										Zinc-binding dehydrogenase [PF00107.31]; Alcohol dehydrogenase GroES-like domain [PF08240.17]; Zinc-binding dehydrogenase [PF13602.11]; Glucose dehydrogenase C-terminus [PF16912.10]					0
RhASF-10_1_802	RhASF-10	1	802	843996	844412	1	D										Rieske [2Fe-2S] domain [PF00355.31]					0
RhASF-10_1_803	RhASF-10	1	803	844425	844760	-1	D										Integrase core domain [PF13333.11]; Integrase core domain [PF13683.11]					0
RhASF-10_1_804	RhASF-10	1	804	844741	846180	-1	C	K07482	transposase, IS30 family								Helix-turn-helix domain [PF13936.11]					0
RhASF-10_1_805	RhASF-10	1	805	846137	846862	-1	C	K07497	putative transposase								Integrase core domain [PF00665.31]					0
RhASF-10_1_806	RhASF-10	1	806	846859	847185	-1	C	K07483	transposase								Transposase [PF01527.25]					0
RhASF-10_1_807	RhASF-10	1	807	847686	848753	1	C	K07486	transposase								Transposase [PF01548.22]; Transposase IS116/IS110/IS902 family [PF02371.21]					0
RhASF-10_1_808	RhASF-10	1	808	848884	849030	1	E															0
RhASF-10_1_809	RhASF-10	1	809	849224	849757	1	E															0
RhASF-10_1_810	RhASF-10	1	810	849791	850378	1	D										Mu transposase, C-terminal domain [PF22483.1]					0
RhASF-10_1_811	RhASF-10	1	811	850375	851178	1	C	K07484	transposase								IstB-like ATP binding protein [PF01695.22]					0
RhASF-10_1_812	RhASF-10	1	812	851867	853594	-1	D										Uncharacterised protein conserved in bacteria (DUF2326) [PF10088.14]					0
RhASF-10_1_813	RhASF-10	1	813	853594	853824	-1	D										ABC-three component (ABC-3C) system Middle Component 6 [PF20293.3]					0
RhASF-10_1_814	RhASF-10	1	814	853817	854602	-1	D										C-terminal domain 10 of the ABC-three component (ABC-3C) systems [PF20275.3]					0
RhASF-10_1_815	RhASF-10	1	815	854908	855699	-1	D										AbiJ N-terminal domain 5 [PF18865.6]; Abortive infection C-terminus [PF14355.11]					0
RhASF-10_1_816	RhASF-10	1	816	856322	856942	1	E															0
RhASF-10_1_817	RhASF-10	1	817	856971	857546	1	D										Pycsar effector protein [PF18967.5]					0
RhASF-10_1_818	RhASF-10	1	818	857560	858249	1	C	K27603	uridylate cyclase [EC:4.6.1.26]													0
RhASF-10_1_819	RhASF-10	1	819	859322	860380	1	D										Protein of unknown function (DUF4238) [PF14022.11]					0
RhASF-10_1_820	RhASF-10	1	820	860271	860891	-1	E															0
RhASF-10_1_821	RhASF-10	1	821	861568	861729	-1	E															0
RhASF-10_1_822	RhASF-10	1	822	861937	862404	-1	E															0
RhASF-10_1_823	RhASF-10	1	823	862713	863006	-1	E															0
RhASF-10_1_824	RhASF-10	1	824	863049	863387	-1	E															0
RhASF-10_1_825	RhASF-10	1	825	863570	864319	1	E															0
RhASF-10_1_826	RhASF-10	1	826	864392	865258	-1	E															0
RhASF-10_1_827	RhASF-10	1	827	865555	866097	-1	D										Domain of unknown function (DUF4365) [PF14280.11]					0
RhASF-10_1_828	RhASF-10	1	828	866578	867588	1	E															0
RhASF-10_1_829	RhASF-10	1	829	867753	868562	1	E															0
RhASF-10_1_830	RhASF-10	1	830	868632	869111	1	D										Endonuclease NucS C-terminal domain [PF01939.21]					0
RhASF-10_1_831	RhASF-10	1	831	869422	869697	1	E															0
RhASF-10_1_832	RhASF-10	1	832	869870	870973	-1	E															0
RhASF-10_1_833	RhASF-10	1	833	871196	872038	-1	E															0
RhASF-10_1_834	RhASF-10	1	834	874210	875517	1	E															0
RhASF-10_1_835	RhASF-10	1	835	875514	878018	1	D										Prokaryotic E2 family A [PF14457.11]; ThiF family [PF00899.26]; Prokaryotic homologs of the JAB domain [PF14464.11]					0
RhASF-10_1_836	RhASF-10	1	836	878015	879091	1	C	K07001	NTE family protein								Patatin-like phospholipase [PF01734.27]; Lysophospholipase catalytic domain [PF01735.23]					0
RhASF-10_1_837	RhASF-10	1	837	879277	879681	-1	C	K07493	putative transposase								Transposase, Mutator family [PF00872.23]					0
RhASF-10_1_838	RhASF-10	1	838	879761	881563	-1	C	K07497	putative transposase								Integrase core domain [PF13683.11]; Homeodomain-like domain [PF13565.11]; Integrase core domain [PF00665.31]; leucine-zipper of insertion element IS481 [PF13011.11]; Helix-turn-helix domain [PF13518.11]; Winged helix-turn helix [PF13551.11]; Integrase core domain [PF13333.11]; Homeodomain-like domain [PF13384.11]					0
RhASF-10_1_839	RhASF-10	1	839	881637	882479	-1	C	K07493	putative transposase								Transposase, Mutator family [PF00872.23]					0
RhASF-10_1_840	RhASF-10	1	840	883212	885197	-1	D										SIR2-like domain [PF13289.11]					0
RhASF-10_1_841	RhASF-10	1	841	885289	886059	-1	E															0
RhASF-10_1_842	RhASF-10	1	842	887602	889194	-1	D			MER0497649	S33	MER0497649 - family S33 unassigned peptidases (Actinoplanes friuliensis) [S33.UPW]#S33#{peptidase unit: 83-529}~source YP_008737087~	False	0.497	412.0	1.374e-124	TAP-like protein [PF08386.15]; alpha/beta hydrolase fold [PF00561.25]					0
RhASF-10_1_843	RhASF-10	1	843	889850	891736	-1	D			MER0991268	S09A	MER0991268 - subfamily S9A unassigned peptidases (Rhodococcus sp. B7740) [S09.UPA]#S09A#{peptidase unit: 367-607}~source A0A0D5AAR1~	True	0.964	491.0	5.432e-150	Prolyl oligopeptidase family [PF00326.26]; alpha/beta hydrolase fold [PF07859.18]; Dienelactone hydrolase family [PF01738.23]; Serine aminopeptidase, S33 [PF12146.13]; X-Pro dipeptidyl-peptidase (S15 family) [PF02129.23]; Acetyl xylan esterase (AXE1) [PF05448.17]; Esterase FrsA-like [PF06500.16]; Chlorophyllase [PF07224.16]; BD-FAE [PF20434.3]; Alpha/beta hydrolase domain [PF20408.3]; alpha/beta hydrolase fold [PF00561.25]; Alpha/beta hydrolase family [PF12697.12]; BAAT / Acyl-CoA thioester hydrolase C terminal [PF08840.16]; Putative esterase [PF00756.25]					0
RhASF-10_1_844	RhASF-10	1	844	891759	893327	-1	D			MER0497649	S33	MER0497649 - family S33 unassigned peptidases (Actinoplanes friuliensis) [S33.UPW]#S33#{peptidase unit: 83-529}~source YP_008737087~	True	0.531	449.0	3.277e-137	TAP-like protein [PF08386.15]; alpha/beta hydrolase fold [PF00561.25]					0
RhASF-10_1_845	RhASF-10	1	845	893367	894083	-1	D										MerR HTH family regulatory protein [PF13411.11]; MerR family regulatory protein [PF00376.28]					0
RhASF-10_1_846	RhASF-10	1	846	894171	894854	-1	D										Protein of unknown function (DUF3159) [PF11361.13]					0
RhASF-10_1_847	RhASF-10	1	847	895575	896672	1	D										Domain of unknown function (DUF4062) [PF13271.11]					0
RhASF-10_1_848	RhASF-10	1	848	897066	898247	-1	D										Secretory lipase [PF03583.19]					0
RhASF-10_1_849	RhASF-10	1	849	898493	899350	-1	D			MER0174886	S33	MER0174886 - family S33 unassigned peptidases (Rhodococcus erythropolis) [S33.UPW]#S33#{peptidase unit: 35-275}~source BAH35937~	False	0.539	248.0	5.343e-72	alpha/beta hydrolase fold [PF00561.25]; Alpha/beta hydrolase family [PF12697.12]; Serine aminopeptidase, S33 [PF12146.13]					0
RhASF-10_1_850	RhASF-10	1	850	899647	901140	1	D										Major Facilitator Superfamily [PF07690.21]; Transmembrane secretion effector [PF05977.18]; Sugar (and other) transporter [PF00083.29]					0
RhASF-10_1_851	RhASF-10	1	851	901176	902369	-1	C	K24131	protease PrsW [EC:3.4.-.-]	MER0941200	M82	MER0941200 - family M82 unassigned peptidases (Rhodococcus wratislaviensis) [M82.UPW]#M82#{peptidase unit: 89-275}~source X0PSW0~	False	0.869	339.0	1.161e-101	PrsW family intramembrane metalloprotease [PF13367.11]					0
RhASF-10_1_852	RhASF-10	1	852	902366	902992	-1	E															0
RhASF-10_1_853	RhASF-10	1	853	903539	903670	1	E															0
RhASF-10_1_854	RhASF-10	1	854	903609	904151	1	E															0
RhASF-10_1_855	RhASF-10	1	855	904226	905023	-1	D										ABC-2 type transporter [PF01061.29]					0
RhASF-10_1_856	RhASF-10	1	856	905020	906726	-1	C	K01990	ABC-2 type transport system ATP-binding protein								ABC transporter [PF00005.32]; Domain of unknown function (DUF4162) [PF13732.11]					0
RhASF-10_1_857	RhASF-10	1	857	906723	907181	-1	D										MarR family [PF01047.27]; Winged helix DNA-binding domain [PF13463.11]; MarR family [PF12802.12]; Transcriptional regulator SarA/Rot [PF22381.1]; Winged helix DNA-binding domain [PF13601.11]					0
RhASF-10_1_858	RhASF-10	1	858	907495	907773	-1	E															0
RhASF-10_1_859	RhASF-10	1	859	908013	909176	1	C	K21159	epoxide hydrolase	MER0096282	S33	MER0096282 - family S33 non-peptidase homologues (Kribbella flavida) [S33.UNW]#S33#{peptidase unit: 43-375}~source GEBA2500416999~	True	0.555	353.0	1.846e-106	Epoxide hydrolase N terminus [PF06441.17]; alpha/beta hydrolase fold [PF00561.25]; Alpha/beta hydrolase of unknown function (DUF1057) [PF06342.17]					0
RhASF-10_1_860	RhASF-10	1	860	909232	910554	-1	D										Secretory lipase [PF03583.19]					0
RhASF-10_1_861	RhASF-10	1	861	910551	911114	-1	D										Bacterial regulatory proteins, tetR family [PF00440.28]					0
RhASF-10_1_862	RhASF-10	1	862	911192	911989	1	C	K07124	uncharacterized protein								short chain dehydrogenase [PF00106.30]; Enoyl-(Acyl carrier protein) reductase [PF13561.11]; KR domain [PF08659.15]; NAD dependent epimerase/dehydratase family [PF01370.26]					0
RhASF-10_1_863	RhASF-10	1	863	912031	912981	1	C	K06889	uncharacterized protein	MER1026971	S33	MER1026971 - family S33 unassigned peptidases (Streptomyces griseorubens) [S33.UPW]#S33#{peptidase unit: 14-304}~source A0A072S800~	True	0.617	347.0	5.902e-106	X-Pro dipeptidyl-peptidase (S15 family) [PF02129.23]; Serine aminopeptidase, S33 [PF12146.13]; Acetyl xylan esterase (AXE1) [PF05448.17]; Prolyl oligopeptidase family [PF00326.26]; Esterase FrsA-like [PF06500.16]; Dienelactone hydrolase family [PF01738.23]; Alpha/beta hydrolase family [PF12697.12]; Abhydrolase family [PF12715.12]; BD-FAE [PF20434.3]; alpha/beta hydrolase fold [PF00561.25]; Alpha/beta hydrolase domain [PF20408.3]; alpha/beta hydrolase fold [PF07859.18]					0
RhASF-10_1_864	RhASF-10	1	864	913803	915119	-1	E															0
RhASF-10_1_865	RhASF-10	1	865	915116	916465	-1	E															0
RhASF-10_1_866	RhASF-10	1	866	916599	916859	-1	E															0
RhASF-10_1_867	RhASF-10	1	867	916969	918237	1	E															0
RhASF-10_1_868	RhASF-10	1	868	918343	918621	-1	E															0
RhASF-10_1_869	RhASF-10	1	869	918935	919837	-1	E															0
RhASF-10_1_870	RhASF-10	1	870	920028	921125	1	D										EAL domain [PF00563.25]; Sensory domain in DIguanylate Cyclases and Two-component system [PF10069.14]					0
RhASF-10_1_871	RhASF-10	1	871	921277	922785	1	D										Thiolase-like protein type 1 additional C-terminal domain [PF18313.6]; Thiolase C-terminal domain-like [PF22691.1]					0
RhASF-10_1_872	RhASF-10	1	872	922826	923425	1	D										Tetracyclin repressor-like, C-terminal domain [PF16859.10]					0
RhASF-10_1_873	RhASF-10	1	873	923521	924312	1	C	K08299	crotonobetainyl-CoA hydratase [EC:4.2.1.149]	MER1073240	S49C	MER1073240 - subfamily S49C non-peptidase homologues (Acinetobacter bohemicus) [S49.UNC]#S49C#{peptidase unit: 84-212}~source N8Q6E4~	False	0.43	87.0	3.002e-17	Enoyl-CoA hydratase/isomerase [PF00378.25]; Enoyl-CoA hydratase/isomerase [PF16113.10]					0
RhASF-10_1_874	RhASF-10	1	874	924331	925644	-1	C	K05548	MFS transporter, AAHS family, benzoate transport protein								Sugar (and other) transporter [PF00083.29]; Major Facilitator Superfamily [PF07690.21]; Uncharacterised MFS-type transporter YbfB [PF06779.19]					0
RhASF-10_1_875	RhASF-10	1	875	925666	926895	-1	E															0
RhASF-10_1_876	RhASF-10	1	876	926892	927137	-1	E															0
RhASF-10_1_877	RhASF-10	1	877	927134	927769	-1	D										Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily [PF00903.30]					0
RhASF-10_1_878	RhASF-10	1	878	927799	928551	-1	C	K01799	maleate isomerase [EC:5.2.1.1]								Arylmalonate decarboxylase [PF17645.6]					0
RhASF-10_1_879	RhASF-10	1	879	928804	930906	1	C	K01473	N-methylhydantoinase A [EC:3.5.2.14]								Hydantoinase/oxoprolinase [PF01968.23]; Hydantoinase/oxoprolinase N-terminal region [PF05378.18]; Hydantoinase/oxoprolinase C-terminal domain [PF19278.4]					0
RhASF-10_1_880	RhASF-10	1	880	930927	933248	1	D										Hydantoinase B/oxoprolinase [PF02538.19]					0
RhASF-10_1_881	RhASF-10	1	881	933245	934921	1	D										AMP-binding enzyme [PF00501.33]; AMP-binding enzyme C-terminal domain [PF13193.11]					0
RhASF-10_1_882	RhASF-10	1	882	934918	936447	1	D										FAD binding domain [PF01494.24]					0
RhASF-10_1_883	RhASF-10	1	883	936392	937195	1	C	K22108	TetR/AcrR family transcriptional regulator, cholesterol catabolism regulator								Tetracyclin repressor-like, C-terminal domain [PF17932.6]; Bacterial regulatory proteins, tetR family [PF00440.28]					0
RhASF-10_1_884	RhASF-10	1	884	937222	938010	-1	D			MER0076214	S09X	MER0076214 - family S9 unassigned peptidases (Clavibacter michiganensis) [S09.UPW]#S09X#{peptidase unit: 11-235}~source YP_001221178~	False	0.547	238.0	5.413e-69	Serine aminopeptidase, S33 [PF12146.13]; Alpha/beta hydrolase family [PF12697.12]; alpha/beta hydrolase fold [PF00561.25]; Prolyl oligopeptidase family [PF00326.26]; X-Pro dipeptidyl-peptidase (S15 family) [PF02129.23]					0
RhASF-10_1_885	RhASF-10	1	885	938012	938539	-1	C	K13727	phenacrylate decarboxylase [EC:4.1.1.102]								Phenolic acid decarboxylase (PAD) [PF05870.16]					0
RhASF-10_1_886	RhASF-10	1	886	938605	939078	1	D										MarR family [PF01047.27]; Winged helix DNA-binding domain [PF13463.11]; MarR family [PF12802.12]; Transcriptional regulator SarA/Rot [PF22381.1]					0
RhASF-10_1_887	RhASF-10	1	887	939342	940163	1	D										Enoyl-(Acyl carrier protein) reductase [PF13561.11]; short chain dehydrogenase [PF00106.30]; KR domain [PF08659.15]					0
RhASF-10_1_888	RhASF-10	1	888	940173	941006	1	C	K12466	(+)-trans-carveol dehydrogenase [EC:1.1.1.275]								Enoyl-(Acyl carrier protein) reductase [PF13561.11]; short chain dehydrogenase [PF00106.30]; KR domain [PF08659.15]					0
RhASF-10_1_889	RhASF-10	1	889	941003	941938	1	C	K03924	MoxR-like ATPase [EC:3.6.3.-]								AAA domain (dynein-related subfamily) [PF07728.19]; ATPase family associated with various cellular activities (AAA) [PF07726.16]; MoxR domain in the MoxR-vWA-beta-propeller ternary systems [PF20030.4]; Magnesium chelatase, subunit ChlI [PF01078.26]; MCM P-loop domain [PF00493.28]					0
RhASF-10_1_890	RhASF-10	1	890	942008	942931	1	D										VWA domain containing CoxE-like protein [PF05762.19]; von Willebrand factor type A domain [PF13519.11]; von Willebrand factor type A domain [PF13768.11]					0
RhASF-10_1_891	RhASF-10	1	891	943004	943510	-1	D										Acetyltransferase (GNAT) family [PF00583.30]					0
RhASF-10_1_892	RhASF-10	1	892	943730	944176	1	D										MafB19-like deaminase [PF14437.11]; Cytidine and deoxycytidylate deaminase zinc-binding region [PF00383.28]					0
RhASF-10_1_893	RhASF-10	1	893	944187	945569	1	D			MER0093774	S09C	MER0093774 - subfamily S9C non-peptidase homologues (Streptococcus suis) [S09.UNC]#S09C#{peptidase unit: 70-332}~source YP_001197694~	False	0.353	140.0	3.386e-33	alpha/beta hydrolase fold [PF07859.18]; BD-FAE [PF20434.3]; Steryl acetyl hydrolase [PF10340.14]; Lipase [PF00151.24]					0
RhASF-10_1_894	RhASF-10	1	894	945581	946333	-1	D										Oxidoreductase FAD-binding domain [PF00970.29]; Oxidoreductase NAD-binding domain [PF00175.26]; Dimethylamine monooxygenase subunit DmmA-like, N-terminal domain [PF22290.1]					0
RhASF-10_1_895	RhASF-10	1	895	946335	946934	-1	D										Oxidoreductase molybdopterin binding domain [PF00174.24]					0
RhASF-10_1_896	RhASF-10	1	896	946925	947236	-1	E															0
RhASF-10_1_897	RhASF-10	1	897	947261	947779	-1	D										Uncharacterized protein family, UPF0114 [PF03350.21]					0
